	timepoint	replicate_id	treatment	cc_state	lin_state	lon_state
cell00000	3	1	N_N_N	0	4	1
cell00001	3	1	N_N_N	2	3	2
cell00002	5	1	N_N_N_N_N	0	12	2
cell00003	5	1	N_N_N_N_N	1	11	1
cell00004	4	1	N_N_N_N	2	5	2
cell00005	3	1	N_N_N	0	3	1
cell00006	4	1	N_N_N_N	2	11	3
cell00007	4	1	N_N_N_N	1	4	2
cell00008	2	1	N_N	1	2	2
cell00009	4	1	N_N_N_N	1	5	1
cell00010	2	1	N_N	3	1	3
cell00011	3	1	N_N_N	1	3	2
cell00012	5	1	N_N_N_N_N	2	12	2
cell00013	5	1	N_N_N_N_N	0	11	1
cell00014	4	1	N_N_N_N	0	5	2
cell00015	5	1	N_N_N_N_N	0	10	1
cell00016	5	1	N_N_N_N_N	3	10	0
cell00017	4	1	N_N_N_N	2	6	3
cell00018	1	1	N	2	1	1
cell00019	4	1	N_N_N_N	3	7	2
cell00020	4	1	N_N_N_N	3	10	1
cell00021	5	1	N_N_N_N_N	0	8	1
cell00022	5	1	N_N_N_N_N	3	14	2
cell00023	3	1	N_N_N	1	3	1
cell00024	3	1	N_N_N	3	2	3
cell00025	4	1	N_N_N_N	3	12	1
cell00026	5	1	N_N_N_N_N	1	14	1
cell00027	4	1	N_N_N_N	1	5	1
cell00028	5	1	N_N_N_N_N	3	12	2
cell00029	5	1	N_N_N_N_N	1	11	3
cell00030	2	1	N_N	0	3	0
cell00031	5	1	N_N_N_N_N	2	8	0
cell00032	3	1	N_N_N	2	5	2
cell00033	5	1	N_N_N_N_N	2	9	0
cell00034	5	1	N_N_N_N_N	2	15	1
cell00035	5	1	N_N_N_N_N	0	8	3
cell00036	4	1	N_N_N_N	0	10	2
cell00037	5	1	N_N_N_N_N	3	18	3
cell00038	5	1	N_N_N_N_N	0	11	2
cell00039	4	1	N_N_N_N	1	4	3
cell00040	5	1	N_N_N_N_N	0	13	2
cell00041	5	1	N_N_N_N_N	1	12	2
cell00042	3	1	N_N_N	3	2	3
cell00043	5	1	N_N_N_N_N	0	10	3
cell00044	5	1	N_N_N_N_N	1	17	2
cell00045	4	1	N_N_N_N	2	5	1
cell00046	5	1	N_N_N_N_N	0	11	2
cell00047	3	1	N_N_N	1	2	3
cell00048	5	1	N_N_N_N_N	3	8	1
cell00049	5	1	N_N_N_N_N	2	11	1
cell00050	4	1	N_N_N_N	3	8	3
cell00051	5	1	N_N_N_N_N	2	15	1
cell00052	5	1	N_N_N_N_N	2	13	2
cell00053	3	1	N_N_N	0	3	3
cell00054	2	1	N_N	2	3	1
cell00055	4	1	N_N_N_N	1	7	2
cell00056	2	1	N_N	2	2	2
cell00057	5	1	N_N_N_N_N	2	9	0
cell00058	4	1	N_N_N_N	2	12	0
cell00059	4	1	N_N_N_N	0	12	1
cell00060	5	1	N_N_N_N_N	2	15	1
cell00061	5	1	N_N_N_N_N	0	9	2
cell00062	1	1	N	2	1	2
cell00063	2	1	N_N	2	1	2
cell00064	2	1	N_N	2	1	0
cell00065	2	1	N_N	0	1	2
cell00066	4	1	N_N_N_N	2	4	0
cell00067	4	1	N_N_N_N	1	11	2
cell00068	1	1	N	3	1	2
cell00069	3	1	N_N_N	3	5	1
cell00070	2	1	N_N	0	1	1
cell00071	5	1	N_N_N_N_N	1	11	3
cell00072	3	1	N_N_N	3	5	2
cell00073	4	1	N_N_N_N	0	12	3
cell00074	5	1	N_N_N_N_N	3	13	2
cell00075	3	1	N_N_N	2	7	2
cell00076	3	1	N_N_N	1	6	3
cell00077	5	1	N_N_N_N_N	2	11	2
cell00078	2	1	N_N	0	1	1
cell00079	5	1	N_N_N_N_N	0	14	2
cell00080	4	1	N_N_N_N	2	5	1
cell00081	2	1	N_N	3	2	3
cell00082	4	1	N_N_N_N	3	6	3
cell00083	4	1	N_N_N_N	1	6	3
cell00084	3	1	N_N_N	1	2	3
cell00085	5	1	N_N_N_N_N	3	18	2
cell00086	2	1	N_N	1	1	2
cell00087	4	1	N_N_N_N	0	7	0
cell00088	5	1	N_N_N_N_N	2	9	1
cell00089	2	1	N_N	2	1	0
cell00090	2	1	N_N	2	1	2
cell00091	1	1	N	2	0	1
cell00092	5	1	N_N_N_N_N	3	11	1
cell00093	3	1	N_N_N	1	5	3
cell00094	2	1	N_N	3	2	2
cell00095	5	1	N_N_N_N_N	0	11	1
cell00096	5	1	N_N_N_N_N	2	10	0
cell00097	2	1	N_N	3	3	1
cell00098	1	1	N	3	0	2
cell00099	5	1	N_N_N_N_N	2	16	1
cell00100	4	1	N_N_N_N	1	4	2
cell00101	5	1	N_N_N_N_N	2	13	2
cell00102	5	1	N_N_N_N_N	0	14	2
cell00103	5	1	N_N_N_N_N	3	13	1
cell00104	3	1	N_N_N	0	4	2
cell00105	5	1	N_N_N_N_N	0	12	2
